datadate,cpi
20010930,105.5095
20011031,105.2133
20011130,105.154
20011231,105.0948
20020131,105.2725
20020228,105.4502
20020331,105.7464
20020430,106.2204
20020531,106.3389
20020630,106.3981
20020731,106.6351
20020831,106.9313
20020930,107.109
20021031,107.346
20021130,107.5237
20021231,107.7014
20030131,108.1754
20030228,108.7678
20030331,108.9455
20030430,108.5308
20030531,108.3531
20030630,108.4716
20030731,108.827
20030831,109.3009
20030930,109.6564
20031031,109.5379
20031130,109.5972
20031231,109.8934
20040131,110.3673
20040229,110.6043
20040331,110.8412
20040430,111.019
20040531,111.4929
20040630,111.9076
20040731,112.0261
20040831,112.0853
20040930,112.4408
20041031,113.0332
20041130,113.5664
20041231,113.5664
20050131,113.5071
20050228,113.981
20050331,114.3957
20050430,114.7512
20050531,114.6919
20050630,114.7512
20050731,115.4621
20050831,116.173
20050930,117.7725
20051031,117.9502
20051130,117.3578
20051231,117.3578
20060131,118.0687
20060228,118.128
20060331,118.3057
20060430,118.8981
20060531,119.2536
20060630,119.5498
20060731,120.2014
20060831,120.7346
20060930,120.1422
20061031,119.609
20061130,119.6682
20061231,120.3199
20070131,120.5195
20070228,120.987
20070331,121.6161
20070430,121.981
20070531,122.4852
20070630,122.769
20070731,122.9876
20070831,123.0255
20070930,123.5468
20071031,123.9277
20071130,124.9017
20071231,125.2636
20080131,125.6955
20080229,125.9994
20080331,126.4502
20080430,126.7429
20080531,127.4929
20080630,128.8288
20080731,129.7488
20080831,129.5557
20080930,129.6665
20081031,128.5515
20081130,126.2755
20081231,125.2358
20090131,125.5527
20090228,126.0101
20090331,125.8857
20090430,126.0124
20090531,126.1979
20090630,127.2453
20090731,127.2073
20090831,127.6333
20090930,127.8797
20091031,128.2636
20091130,128.6931
20091231,128.7601
20100131,128.8436
20100228,128.721
20100331,128.7636
20100430,128.7932
20100531,128.7263
20100630,128.6724
20100731,128.9129
20100831,129.1013
20100930,129.3098
20101031,129.7601
20101130,130.0889
20101231,130.6114
20110131,131.035
20110228,131.4562
20110331,132.1363
20110430,132.7565
20110531,133.1789
20110630,133.1789
20110731,133.5278
20110831,133.9491
20110930,134.2399
20111031,134.3306
20111130,134.5788
20111231,134.6108
20120131,134.9775
20120229,135.266
20120331,135.5492
20120430,135.7743
20120531,135.4935
20120630,135.3815
20120731,135.4206
20120831,136.2073
20120930,136.8572
20121031,137.2263
20121130,136.9959
20121231,136.9793
20130131,137.2506
20130228,137.9959
20130331,137.6078
20130430,137.3205
20130531,137.3774
20130630,137.7044
20130731,137.9739
20130831,138.3033
20130930,138.3555
20131031,138.4295
20131130,138.6848
20131231,139.0515
20140131,139.3886
20140228,139.5421
20140331,139.827
20140430,140.0877
20140531,140.3543
20140630,140.5397
20140731,140.6979
20140831,140.6754
20140930,140.6854
20141031,140.6576
20141130,140.3928
20141231,139.9597
20150131,139.0509
20150228,139.3578
20150331,139.8134
20150430,139.9028
20150531,140.3874
20150630,140.8081
20150731,141.0267
20150831,141.0118
20150930,140.7026
20151031,140.8655
20151130,141.0047
20151231,140.8868
20160131,140.8963
20160229,140.6807
20160331,141.0178
20160430,141.4852
20160531,141.8626
20160630,142.279
20160731,142.269
20160831,142.5367
20160930,142.8027
20161031,143.1819
20161130,143.3821
20161231,143.8223
20170131,144.4194
20170228,144.5267
20170331,144.4011
20170430,144.58
20170531,144.5273
20170630,144.6576
20170731,144.7808
20170831,145.3181
20170930,145.9822
20171031,146.0823
20171130,146.5237
20171231,146.8608
20180131,147.4431
20180228,147.7305
20180331,147.8069
20180430,148.0782
20180531,148.487
20180630,148.7761
20180731,149.0504
20180831,149.2174
20180930,149.295
20181031,149.7595
20181130,149.7393
20181231,149.7174
20190131,149.6878
20190228,149.9485
20190331,150.5616
